cleaned_stemmed,sentiment_prediction
urat malu udh putus tuh yg pake baju biru,negative
beda kelas om rocky,positive
silfester gambar banyak rakyat indonesia sekarang,positive
lihat banget siapa yg bodoh,negative
ayo gas kan x x biar mampus semua,negative
yg rasa rocky pintar cerdas akal sehat jadi imam,positive
manusia silver paling baca tolstoy biografi doang weka weka weka,negative
siplester ngatain roky bujang lapuk tanda punya istri gak mau dipake makanya emosi naik,negative
silvester mabok,negative
ud jelas siapa the real dungu lanjut rg indonesia bebas dungu,positive
semangat pak rg rg memang in the best,positive
coba pingin tau bung roki kritik pa prabowo subianto pingin liat,negative
hadir bang rocky gerung dalam bagai forum debat sangat tambah wawas utama kalang mahasiswa gaya debat rg ceplas ceplos plong apa ada memang kadang buat wajah lawan merah situasi begini perlu stabil emosional orang stabil emosi lihat kecerdesannya,negative
bung rocky sedang masak,positive
bung gerung kok muter gak ngerti sy,negative
akwkwk,positive
nyerang pribadi sih silfester udah gitu motong terus maki mantap bung rocky,positive
neng aja gw liat si roki berani kritik,negative
kliatan bngt tunjuk k bodohanny scra langsung cerita diriny sndri,negative
silvesternjing salah satu jilat,negative
nyala rocky gerungg,negative
roky pintar ngomong debat debat jadi sebut muter muterr terus,negative
acara gk didik ujung ujung nya nyalahin jokowi huh gk pikir,negative
silpester silpester,positive
bukti fakta jawab nya mana huh puyeung,negative
sangat jelas sekali kedunguanya hahaha,negative
hahahah pantas aja hukum indonesia bgni ngakunya aja sarjana hukum kaya gtu ajak debad minim tahu,negative
suka rg suka gaduh endonesah bangkit runtuh bangkit runtuh istimewah bibir hati,positive
orang kurang ilmu debat pake emosi gak kontrol udah kalah telak waktu singkat,negative
silvester makin liat jilat,positive
tolol,negative
roky pikir nya negatif mulu hahaha habis akal bilang nya akal sehat dus weduss,negative
roky nyalahin jokowi mulu gk pikir kyk nya,positive
si plester ga terima bilang bodoh,negative
ciri kalah debat serang pribadi selamat bang rocky menang debat,positive
betul bang roki lawan bicara bang roki jilat,negative
mantap bang roki angkat jempol buat bang roki,positive
otak tak mampu ototyg bicara,negative
keren sih bung rokyy,negative
pondasi buat ngomong kamu ngerti,negative
gimana mau jelas potong trs rg dosen jadi wajar jelas muter sbnrnya bukan muter s semua ketrengannya jabar ilmiah,negative
orang kendali emosi dungu,negative
tinggal jawab bukti banyak masyarakat miskin nganggur,negative
buah debat biasa saling sanggah dgn intens tp hina personal debat ting apa didik sampah tp lucinya byak yg bela karna kubu lucu sekali,negative
greget bgt sama si silperr,negative
kerumun karn settingan jg bgi bingkis,positive
kamu salah bung yg kata cundang kalian yg jilat pemerinhan bukan bung rocky yg andah sebut,negative
awal success its not free you have to fight it ubah success its not free you have to jilat it benih benih emosi kata kata ikan pancing,negative
langsung das des biar seru laki masak adu mulut,positive
yg eluh kaan pintar yg ngerasa pintar tetep aja makin kesini makin jatuh,negative
silvester otak nya engk pake aja yng otak nya bwah rata aja jelas cara pikir om rock lulus hukum otak nya engk jalan,negative
inews nya masa ngundang narsum yg hadir pro kontra biasa udah beda cerita kata kasar enak media mu,positive
mantap bung rock,positive
rocky suka ge rendahin orang nda baik,positive
rocky sok tauu,positive
kalau kalah bung gak usah mgotot ngaku aja gak usah tensi,negative
dr sini sdh d lihat tahu rg jauh bgt sm si biru rg beri umpama dg beri jelas yg ahirnya nyampek bahas pokok utama si biru potong g mungkin menang kalah debat lihat biru kalah telak hahahah parah parah,negative
fanatik sekali kaki kaki mulyono,positive
timpuk pake kursi silvester,positive
hajar bang hajar,positive
kgkgkgkgkg bulan lawan bang roky gerung,negative
betull si rock rol gareng dulu neng ngebuli orang apa untung sech laku manusia spt mending jade awat r s jiwa,negative
hahaha kalah materi,negative
silferter tak ilmu depan rg,negative
panjang lebar ngga ad isi,positive
akal sehat dengu pancar kalah debat emosi pake otot hmm,negative
badut biru salah tempat nya sirkus malah ikut debat,negative
rocky gerung kyk ngajar mahasiswa nama silfer tanya uji dalam ilmu silfer serasa kyk dosen nanyain mahasiswa teori mahasiswa sebut sedang kecimpung kerja yg lapang jelas dosen lebih unggul yg dikrjakannya tiap hari ajar ulang terus ingat terus beda dg org yg dalam bidang kerja ambil jenis kerja yg spesifik,negative
kagum pikir bung rocky gerung lawan bicara orang yg gak punya modal wawas tahu yaa serang pribadi begitu orang yg dangkal baik bung rocky gak usah layan salam akal sehat bung r g,positive
yg pakai jazz sangat malu buat bangsa indonesia bahasa kasar nya keluar nah mana yg benar mana yg salah udah jelas tahu,negative
bang rocky gass,positive
memang bkn jilat yg kasih jabat org yg siap utk hadap rg sayang ucap laku nya sangat nampak ayam adu,negative
jokowi nemu aja orang bgini dr jaman ali ngabalin sllu kalah smaa rocky,negative
kalo dungu dungu aja jgn emosi emosi semua tahu berapa bnyak berapa pintar berfikir,negative
lahh kocak,negative
rg thebest,negative
nyata tdk semua advocad cerdas yg minus kata bung rocky tahu,negative
bukan soal bela si a si b yg pakai jazz malah emosi gugup muka kesal marah skip jangan contoh buat warga negara indonesia yah yg pakai jazz emosional tinggi noh,negative
pinter bicara punya pandang depan mungkin lah jadi tri indonesia biar lebih baik kadang kan bicara realita nya baik,positive
parah orang jas biru kata ahli hukum gilir tanya sejarah orang orang sejarah ahli hukum dahulu malah diam menung buat inews salah ngundang orang kalau debat ilmu tahu turut undang jadi bintang tamu acara lawa srimulat,negative
roki gerung pintar bicara ahli bnyk tele tele bnyk omong doang emang gada guna bangsa,negative
wkk malu bangetett smpe anak cucu,negative
ngeri rocki,positive
salah bung rocky mantap,positive
pak jokowi poko terbaikk panjang masa,positive
rocky lewat pintar jadix kya org gila,negative
haha ngatain cundang enak gilir dikatain bodoh ga terima yg nama laki sejati hahaha,positive
trendingg,positive
mafia hukum emosi,negative
haha jiwa barbar mafia keluar,negative
kol bocah undang debat penasaran logika rocky sayang potong sama bocah jas biru yahh padahal anggap kuliah gratis,negative
lawan diskusi bung rocky sangat kelas banyak orang hancur negara,negative
nyambut president kunjung sbnrnya penasaran ikut tan aja sih kmrin kunjung pak jokowi istana negara jogjakarta biasa aja tuh warga nkri,positive
kalah debat mau kelah adat indonesia yg susah hilang utama keras,negative
dulu rg sering buli anggap asal ngomong sekarang bukti banyak yg dukung,positive
part akhir bikin candu ngakak,negative
hidup bung rocky tegak benar adil akal sehat silfeter kelas ngabalin,positive
jelas yg salah aiman fix,negative
gw emang ga suka sama perintah jokowi but kata u tau ga awal kalimat keluar rg rasa timbul efek kurang baik indonesia asa guru kuliah respon bijak orang,negative
bahas politik agama bingung dgn narasumber negeri,negative
sungguh jokowi punya arif tentu suatu kebijaka baru tau pelopor golong pki gaya baru coba x merobah panca sila ssgh nya hasil konstutusi seluruh bangsa indonesia perlu pedoman ta ati bangsa seluruh bangsa sadar negara indonesia negara cukup kata sorga dunia negara ami pemganut ahama yer lengkap harap hidup damai nyata ber kali kali kelompok okmunis merobah idiologi p sila ter goyah allahu akbar anda rasulullah swt tau ini beliau mintak lama hidup dunia alham dulillah seluruh bangsa banyak x syukur kpd allah swt allham dulillah x,negative
ga pernah kenal silvester sekali dpt panggung malah jatoh citra,negative
hari crol video yt cari yg rocky gerung nya kali sya temu dungu yg hakiki rocky gerung emng joss,negative
penj lat gin doang kualitas mental emosi yg kaum high sdm,negative
rg emang orang hebat benar stabil pantas jadi guru besar indonesia,positive
ilmu rg pakai utk maju buah bangsa prinsip berfikirnya mana cocok jadi sejarahwan,positive
lah intelek paling malu kan,negative
mantap bung rock sikaat,positive
muter yukk,positive
pas sama jokowi eror,negative
hahahaha emosi jiwa keluar otak kosong hasil ngajak ribut,negative
mahasiswa bukan nyorakin si paus dugong malah diem liat banget cari aman moga jadi orang jujur kalo kerja,negative
rasain lu roki ha ha ha suruh buktiin mlh muter,negative
percaya la orang yg selalu bawa nama rakyat justru la sbenernya jahat rakyat,negative
gak langsung ngaku gabisa kontrol emosi,negative
rocky gerung,positive
lalap prinsip berfikir yg prinsip berfikir mu yg salah,negative
indonesia nonton lho sil sil sil,positive
mampu yg jarang milik orang hembus ular dg suka rela keluar tampak diri rocky is the best,positive
kalo aku diginiin publik mah udah ku telpon elon musk buat tiket first class mars,negative
roky gwrung kadang emang ngawur tpi silverster nyerang pribadi ato fisik pdal yg debat umum kalah debat tpi emosi pdal sendiri yg ngina orang,negative
go rocky go,negative
bapak yg rugi bangsa gak usah debat kalah emosi,negative
presenter yg kurang tegas,negative
yah baper si bapak wkwkwkk,positive
ngomong kata jorok apa,negative
lebih baik debat orang bodoh orang ngeyel,positive
hidup mu ada dlm angan kiblat lah cara roky gerung jamin buat hidup mu tenang krna sll hantu puas krna pola pikir yg lebih depan dri hidup ibarat kata hidup dlm angan krna hidup yg cuma depan angan gk bakal puas,negative
memang cawe bos,negative
terus silfester guna apa buat negara rakyat,negative
siapa sih silvester gak yg kenal jelas sekali gak kwalitasnya sama sekali karna kalah debat rmosinya aja yg muncul,negative
bukti si pak plester gk punya otak bukti nya esmosian,negative
bung rocky manfaat situ buat bangsa ingat bung baju biru kalo bung rg gak guna mana mgkn undang forum tsb,negative
paham si gua sama mksd roky gerung bahas kritisasi definisi situasi kait sekarang gabisa langsung to the point jelasin dlu global dasar dasar ilmiah kerucut karna ngomong gabisa sembarang to the point jabarin biar ga pelintir cumaa silvester gapaham dasar metodologi bukti tambah netijen mulyono tiktok dongo wkwkwk,negative
hukum indonesia cermin silferter hancur lebur,negative
dukung akal sehat bung rocky gerung keren,positive
hidup akal sehat,positive
ribu persen dukung bang roky,positive
sedang nikmat tonton bodoh silfester org hukum org hukum org hukum silfester kocak lu yg lihat bohong bung silfester,negative
tanya simple pdhl rocky gerung tpi bikin skak matt cerdas emng,negative
rocky memang pintar harfiah mmg aku pintar kuasa byk ilmu hukum yg lihat,negative
kalau sy jadi silvester langsung smekdown tuh bujang lapuk,negative
haduhh,negative
si rocki bicara ngaur muter tadi,negative
silfester kuliah ruko tutup ruko,positive
rocki gerung tetap santai,positive
orang hukum kalah awal serang pribadi hahha dungu hidup rg,negative
emang nya yg faham hukum cuman si silvester bangsa indonesia justru sangat cerdas bung rg kata jago hukum tp istilah hukum ngak tau sajar bilang dungu,negative
dongeng tidur muter muter ngga jelas,negative
rocky gak pernah bicara substansi selalu orgasme indikasi yg racik sendiri,negative
ikan yg pancing wkwkwkkw,negative
silfester dungu mu tonton,positive
terlalu jomplang banget debat malu kualitas orang indonesia silfester jangan munculin tv,negative
silfester cawe cawe jokowi ubah konstitusi,positive
pintar ngomong pinter usai debat psnggung usai masalah bila laksana pekerjaanya dgn baik contoh anies kurabg piawinya anies tata kata tanya selalu gampang jawab saat beri emban gubernur justru masalah,negative
didatangin buka mundur maju ilmu tinggi mental baja kelass rocky no rocky no party,negative
rg kelas,positive
serang medsosnya,negative
klo g rasa jilat tp marah wkwkwkw kocak lu silfeser wkwkwkw g rocky g party joss sikat habis bang rocky yg dungu,negative
bravo bung rocky gr lawan debat auto pancing blunder,positive
the best bung rg,positive
rocky gerung terlalu banyak plot debat terlalu muter guna filsuf metode repetisi model kek rocky gak pegang kata nya,negative
guna jokowi apa nyuruh intimidasi kl ga cawe ko aparat polisi ikut kampanye gera kades,negative
s uamua yg komen dukung sejati rg mantap,positive
kejang kejang kwan no rocky no party,neutral
kata baca buku gak tau kata ajar hukum lihat beda jauh mantap bu rg,positive
jawab pertayaan bung rg hadeeh cuma lihat aja ngawur bung,negative
biasa orang yg singgung trs marah marah biasa jilat wkwkwkwk sil sil bilang rocky gerung gk guna lah ente aja gk guna buat rakyat sil sil,negative
rocky sangat guna negri seorg dosen yg mncerdaskn generasi muda,positive
jilat tonton dungu,negative
bukan as nya rg nih orang,neutral
rocky banyak teori misal jadi pimpin gak,negative
singgung arti,positive
debat dungu best buat rg,positive
silfester silfester,positive
aquarius jangan lawan datang dr masa depan woyy,positive
cuma mau bilang kalo ga rg kaya banyak bodoh soal politik negeri beliau sangat guna mencerdaakan bangsa ahai marah marah malah aku ga tau udah ngapain aja wkwk,negative
jt jelas roky menang mantabb bung roky luar biasa,positive
prabowo walaupun menang bun menang sah jurang pilih rakyat curi krn jokowi politik edintitas,negative
ngabalin pers nya,negative
malu sndiri gua liat silvestreess dongoo,positive
gk pusing emosi wkwkwkwk,negative
malu kata kata,negative
akhir abu janda part,neutral
bolak balik bolak balik bolak balik yg butuh kan kerja nyata bukan omong,negative
indonesia gk perlu kosong gk masok,negative
pasal mana yg langgar klo gk pasal yg langgar percuma donk koar,negative
silfester emosi lihat kurang nya literasi kamu pikir jadi andal sentak intonasi emosional,negative
aq liat koment banyak bela rg apa mau bodoh in kalian sm rg hancur negri kalian trnyata suka dibodohin,negative
klo lu motong truss gmana cara orang mau jelasin nya,negative
pinter bicara tak pandai kerja semua orang asal gemar baca framing style,neutral
malu banget yg jadi keluarga kerabat nya si silfester si silfester bilang udah baca buku nya tanya buku yg mana gak jawab,negative
yg emosi berat kalah berfikir hh kocak,negative
d lihat orang yg benar pintar debat orang bodoh debat,negative
hebat bung rg luar biasa,positive
tinggal nunjukin aja bukti gak usah pake bahasa yg orang awam kurang paham kan upa video kek foto gambar tunjukin gk usah pake kata gtu aja kok muter ribet,negative
sini nilai mana yg benar mana yg cerdas rocky gerung org pintar hina maki tetap slow biar rakyat yg nilai salam timor leste,positive
roki guna banget dong aku jadi pinter gara gara bung roki broo,negative
sindir memang jas biru memang jilat,negative
yg makin ngegas makin lihat belang,positive
corong kuasa isi begini semua ciri emang anggap masyarakat banyak gampang bodo bodoin aja ga perlu ajak diskusi makanya beri fakta sama rg langsung korslet,negative
kasi muka sampe merah the best bung roky,positive
kilas rumit sampai rg utk orang yg emang ga nyampe logika resap justru konstruksi pola pikir sangat logic sederhana tau betul bukti cawe diksi argumentasi yg pakai sederhana to the point mudah singkat makanya lawan bicara sangat percaya diri nantang bukti straight to the point siasat satu nya celah bukti yg jabar bukan dgn argumen sederhana argumen rumit yg dasar struktur yg tentu cerna orang yg akal sehat bukan jilat lah jas biru boro akal sehat ngaku lawyer metodologi pikir aja gatau gimana mau lanjut tahap rumit emosi pancing dungu pancing harga diri habis lucut,negative
ngomng apa sih yg pake jas,negative
era perintah ijazah palsu yg pelihara orang jilat model cundang,negative
lucu masak orang jenius pak rocky gerung terang lurus kok malah emosi,negative
siplester adu otak kalah ngamuk,negative
debat paling seru ampe jas biru ngeliatin bodoh nya,negative
pas denger rocky ngomong otak langsung fresh dpat ilmu lalu kena potong silferston langsung ngikut bodoh,negative
roki gerung elemen penting negara,positive
haha lucu lu kalah debat emosi sok an nantang sulfat hukum lu ajar dimna masa kalah debat emosi merdeka rocky gerung,negative
mas silver mas silfer,positive
yg ngaku jilat yg marah yg emosi sendiri liat bgt bego org,negative
beda tonton bola main bola tonton pandai komentar tp tau pandai lapang giring supporter kritik leceh jangan pandai teori kritik mah gampang apa sumbangsih negeri,negative
rg orang cerdas yg manfaat negri,negative
pamtes banyak penganiaan mau fisik maupun hukum adil tuh org ny aja bgtu lihat,negative
acara ngk manfaat kumpul org sok pinter omong nol kerja nya,positive
haha,positive
gk kuat lawan rocky pikir main kasar anggap paling benar padahal prilaku dunggu bodoh tak akal sehat mending lawan kerbau aja gk usah lawan rocky,negative
gedeg bgt lht bapak bapak jas biru,positive
jebak mantap,positive
rg teryata sama anis,positive
pinter pis bang rocky,positive
bg roki mntp,positive
alhamdulillah tayang umur hidup,positive
el barack pilih enginering jadi acara lawyer lawyer terlalu banyak bohong,negative
yg tau ig twitter nya silvester,positive
selak selak pembicaran typical pierce morgan,positive
tau rasa lo rocky mana muka pucat kluarin dong,positive
tonton bodoh mu gak nyadar ckckckc,negative
idola gua loh bung rocky gila tahu,positive
bang rocky bilang nonton bodoh mu langsung bungah,negative
seperti jadi karakter rb tokoh antagonis protagonis acara milik goro goro tarik,negative
silfelter buang aja tu cepat media lah,negative
ikan kalau lapar pancing lanjut bung rocky,negative
ngaku orang hukum ditanyain plonga plongo beneran sekolah ap beli izajah aja bos bung rocky hebat,negative
bung rocky gerung ide nya sangat sesat rakyat depan maha sewa yg guna budak akademisi,negative
sipaling orang hukum,negative
semua warga negara indonesia tau mana yg kualitas,positive
rocky mumet cari jodoh gx jadi pimpin gx mungkin makanya usaha racun otak manusia lemah,negative
baju yg jas memang orang bodoh wkwkw sadar diri sedang malu diri sendiri buka kebobrokanya hahahaha goks keren bung rocky beragumentasi kepala dingin otak yg sehat,negative
arti debat aja gk ngerti debat asah pikir bukan pancing emosi debat bukan serang pribadi stay pikir baru serang bodoh konteks pikir langsung down pak wah parah,negative
silfester kena genjutsu rocky,positive
pantes bobrok adil dinegri gak perlu bukti detail kacau kacauu,negative
kan rg cuma terang knp emosi aja tani aja paham kok,negative
ketemu batu tuh si rocky,negative
kasihan mau nang si roki,negative
bung rocky bravo,positive
jas biru sama kandang berapa,positive
ilmu kalau serta akhlak begini deh jadi payah deh,negative
emosi kids,negative
sumbar ngak tu ratus ribu orang ratus orang aja ragu silter,negative
angkat topi sihh bung rg gila daging semua cuyy salut berani bung,positive
udah pak maen film rambo remake aja gk usah jd kuasa hukum acara lg kn sama sylversen yg asli sylvertern stallone bapak sylverstern myk ton,negative
kasih paham bung rg,negative
kalau punya turun anak cucu malu jejak digital rekam,negative
ga cocok ajak debat wkwk mantap bung rocky,positive
mana bukti mana bukti mana bukti bung rocky udah jelasin bukti pacta sun servanda tp gakk ngerti apa pacta sun servanda,negative
marah,negative
sd udah baca,negative
amarah ciri orang ngk pikir rakyat,negative
debat debat usah bawa urus pribadi woy usaha kok pola pikir rendah,negative
jabat yg haus rakyat tetap bidohin jabat korupsi korupsi,negative
adil ga pake bgtu langsung to the point pantes lah,positive
shame on you silfester aku ngga mau ngaku anak kalau kamu bapak,negative
utang banyak itu bukti rocky,negative
sylvester stallone pemeean rocky yg hajar lawan nya lah skrang kok sylvester mau hantam rocky,negative
bikinrayat marah kunyuk roki lebih bagus nya jangan tayang makas,negative
silfester ga punya etika,positive
koyo nonton wayang kulit,neutral
bung rokcy baik,positive
satu ga kontrol emosi satu hina depan bublik ga yg pantas conto,negative
kalau jilat memang mana mau tuan nya jatuh kan bravo bung roky kasih tu kuliah biar ngerti paham in the best,positive
hidup jokowi,positive
kelas rocky gak lawan akal sehat rocky baik moga sehat selalu panjang umur bung rocky,positive
silfester nama keren buat jadiin vilain,positive
satu nampak nyata kosong pikir nurani emosi,negative
maaf pak liat pak emosi blum kontrol,negative
ngeri sih jenius bung rocky buku,negative
rc g dosen pak ui tdk gaji masalah tdk nikah pribadi masing masing pak kalo rc g mau cewek udah pd ngantri pak,negative
aja gak mah lawan rocky gerung,negative
tayang bikin adu domba rayat kecil aku muwa semuah,negative
bulan oktober pak jokowi udah jabat rocky ga undang tv,positive
gerung harus gk usah d pakai belit pantes gk nikah haha gk ad yg betah rasa paling bnr n pintat,negative
ilmu gendruwo roki,positive
klo ikut rocky akal bolak balik orang yg atiesme,negative
bung aiman ketawa mulu,positive
jauh banget level nya,positive
debat bangun bangsa,negative
sidungu yg sungguh aku prnh mmbaca sbuah buku sejak sd tanya isi nya tak bsa jelas malah emosi yg tnjukkan,negative
gasken bung rocky,negative
sya acung jempol pak silfester roky gerung ketemu lawan nya sikat habis pak silfester,negative
pikir rocky puncak gunung nah yg jas biru palung mariana wkwkwk kalah debat ngamuk,negative
wkwkwwkk seru debat ngadapi rg siap kalo ngga abis kena hajar hee,negative
anu rocki sdh tdk,negative
kata jilat cukup sakti utk buat orang emosi membludak,negative
bujang lapuk,negative
banyak adek adekk mudah mahasiswa yg mem berita gampang pancing omong r,negative
lawan kurang pas buat rocky gerung banyak baca buku biar g gampang emosi,negative
kentara sekali siapa yg paling rajin baca gadget langsung muncul ide pikiranya,negative
kentara sekali siapa yg paling rajin baca gadget langsung muncul ide pikiranya,negative
silvester ikan pancing,positive
silvester ky rasman gonggong doang isi g,positive
silvester diam ahh ngomong melulu,negative
ngakuu,positive
pak rg the best,positive
tenang bgt woyy rg,neutral
kalem netizen jogetin aja oke gas oke gas,positive
manusia sekarang klo salah marah,negative
hebat bang roki bravo roki,positive
tak buntu akhir esmosi gk bendung hehehe,negative
kalah debat emosi tanda dungu sejati,negative
ikan memang teliti lg ijazah,positive
hukum bicara hukum ibti dasar nya aja tak tau apa lihat hasil kerja bayar buat kelulus sarjana lawak,negative
kocak sampe ngakak,negative
satu ikan pancing baru kali liat debat lawan debat nunjukin bodoh sendiri,negative
habis banget dikulitin rokcy,negative
apa yg terang roky ngerti,negative
kualitas otak nya liat tampil media sedih sekali,negative
dungu kata halus sakit salam warass,negative
pancing tuh ikan sama om rocki wkwkwkwk,negative
jabat korupsi korupsi,positive
epic moment akhir olah nih pukul muka ayo pukul kata bung rocky g berani tuh orang kena pasal tuh wkwkwkeke,negative
has orang indo klau klah argumen main otot kata ahli hukum baru tanya dasar hukum gk tau,negative
roky lawan kan kocakk,negative
orang dukung rocky gw yakin gak ngerti apa yg omongin rocky cuma ngedukung biar lihat gak dongo aja,positive
indonesia syukur banget punya satu sosok bung rg cerdas benar tegas berani,positive
ikan otak nyah emang kosong bung rocky,negative
silfester kalau ikut alur pemikira roki kamu kalah roki jangan kau ikut pola pikir potong terus pola pikrnya niar kembang,negative
gerong kabyuk en ben kapok,negative
rasa bapak yg jas hbis debat nyampe rumah betul jga kata prof rg,positive
lebih cawe,negative
mc nya kurang kondisi,neutral
belat belit silat lidah kok,negative
harus mas aiman sbg bawa acara omong kalo sdh gk nyambung disudahin ganti yg banyak acara gk becus dengerin rumah smpek bingung omong bulat bulet kok didengerin susah ngomong sama roki orang suka rendah orang,negative
memang ciri khas warga indo iq kalo kalah debat pake otot,positive
si roki emng y bikin kesel j,negative
mungkin jelas cawe,negative
nyala rocky,positive
picu muncul dungu menit,negative
susah pancing silver makanya muter muter rg,negative
debat macam apa debat kusir ga point saling rasa paling benar pintar,positive
dulu bodoh karna benci roki gerung tp sekarang bung roki orang yg paling baik berani negeri silpester lihat kali bodohx acara,negative
teori mulu tak guna cuman bikin gaduh aja,negative
roky gerung sangat guna beri cerah pancing org jadi brpikir latih cerdas,negative
emosional liat dungu nya lawan rg pancing emosi lawan rg jadi fokus bicara jadi ngaur hebat rg santai tahu lawan nya dungu,negative
sangay sayang ktika orang faham hukum mlh mlqkukan sprti ucap sangat pantas,negative
lambang dungu sejati kontrol emosi terimakasih banyak bung roky cerdas bangsa,negative
luar biasa rg,positive
rg memang nyala,negative
rocky gerung yg omong teori melulu,negative
sangat guna bong roky indonesia bituh pikir cerdas roky bangsa,negative
bung rocky jago pancing,negative
satu ikan pancing org hukum lgi malu ubun,negative
otak ny fungsi baik hadap rg beda kelas gilir kalah debat nyerang pribadi,negative
debat emng bung rocky sengaja coba jelas lalu dasar ilmu hukum karna tau silver kuasa dasar dasar ilmu hukum tuju nya lihat bodoh silver rocky kesal karna sebut bujang lapuk senjata lalu ilmu dasar hukum wkwkwk,negative
beda kelas rocky sama si jas biru rocky pinter lha orang jas biru ngak nyampe jadi emotional,negative
lawak,negative
anjir gw aja yg tamat sma ngerti maksud bung rocky yg hakim gitu banget dah tau emang dungu pura dungu biar ga liat dungu,negative
rocky seri g masalah dalm kritik orang jokowi waktu mau lapor penjara kan diem ngga nyali bikin masalah terus kasus nya ngga panjang bahaya orang tau nya cuma kritik,negative
kalau ngr banyak jilat jgn harap rakyat nikmat sejahtera maju trus bung roki rakyat yg nilai,positive
aiman cari retting doang senang bikin orang kelai bukan diskusi,positive
ahh kopet,positive
hahahha silverqueen yg mulai kick balik sma bang rocky gelagap belaga jd org pinter pdhl wkwkwkk,negative
kelulus kuliah tanya,positive
roky gerung pintar,positive
sama bung rocky,positive
mana ads orang ngaku dpt jatah kann umum wkwkwkwkkwkwkwkk berifkirr ajaa dpt buat perut masing lahh diem wkwkwkw,negative
kok kau jadi tum ntah tum apa,negative
si jas biru gk perlu undang tv yok lanjut rg,negative
pak rocky the best,positive
astgaa bogo sekali jas buru,negative
orang habis akal serang pribadi,negative
rocky lawan,negative
jurus deketin emosi,negative
sya penasaran dulu kuliah nih orang biru dasar dasar hukum aja banyak ngeles nya tanya apa lagak tau asli zonk,negative
roky banyak gaya banyak ngomong doank bikin malu aja kata ahli filsafat org ky roky ko panggil stasiun tv,negative
sombong bukan main hina orang mungkin non kristen jokowi hina semua,negative
harus bung rg kasih bahasa sederhana mahkluk dungu yg emosional erti,negative
eta saha anying marah marah wkwkwkwk,negative
lah kawan rakyat yg nilai siapa yg bod h wkwk,positive
rocky orang stress,negative
bung rocky yg bentak nang bung rocky hebat,negative
pacta sunt servanda buah asas ilmu hukum arti janji tepat asas asal bahasa latin agreements must be kept asas laku semua janji lembaga undang undang atur ikat asas laku janji umum laku orang asas pacta sunt servanda milik beberapa implikasi antara asas jadi dasar tentu pasal ayat kuh perdata nyata janji buat sah laku undang undang pihak buat asas jadi kuat ikat janji jadi wajib hukum taat asas harus pihak pihak libat janji hormat laksana apa pakat asas jadi batas asas freedom of contract janji komersial asas rupa salah satu norma dasar hukum erat kait asas itikad baik,negative
kualitas lihat rakyat yg bicara,negative
yg langsung ngomong bodo orang yg takut dijelasin pake filsafat orang gapunya otak makanya motong omong mulu pake emosi cemungud mang rg,negative
jadi ingat waktu sd debat sama teman yg idiot bawaanya sll emosi ken mukul ujung nya nang,negative
rupa ikan yg selalu bikin keruh kolam ri,negative
debat sesuai topik debat,positive
ada roki gerung bikin resah masyarakat negri pintar ngomong panjang lebar tidakada dampak manfaat nya masyarakat betul yg tuju like,positive
silfester bingung,positive
emang lawan rg tanya apa jawab apa bilang orang bodoh ngak rasa hormat sama orang,negative
mantap bang rocky pancing terus emosi nya,positive
urus bujagan,positive
wkwkwkw negara konoha banyak bner petinggi nye cetek rata rata otaknye wkwkwkwk,negative
roky garong,positive
bung rg memang mantap,positive
bahasa kotor emosi gx terkontroll,negative
tahu dungu,positive
sumpah beli paket nonton debat sangat lucu sekali mantap bung tokyo,positive
sama sama cerdas cuman rg menang satu langkah mareka dua sama sama guna buat cerdas anak bangsa,positive
mantap rocky gerung cerdas betul,positive
panjang umur rocky gerung,negative
kocak lihat ngaku pinter,negative
anjirr malu se indonesia,negative
pak rocky udah ngasi emas lah ngasi ap boro ngasi ad malah minta gaji ama negara,negative
kata org pintar cuma d gt marah mnta ampun,negative
banyak cawe cawe jokowi la jelas ikut bagi sembako,negative
kek rekrutmen baru ni orang hadirin buat manasin media sisi rekan nya sedang sibuk denga kotor besar besar ambisius butuh alih sekalipun rekan jadi sorot bapak siape sih kasihan ntar anak naek popularitas lingkung cari keburu atas yg waris orang tua akhir zaman mah bebas sontoloyo dgn hidup dluar layar kmegahan istana yg tutup,negative
rg l kereen luarr biasa,neutral
mantap bang rocky tembak tepat sasar hahaahha,positive
rocky gerung ibarat guru si jas biru ibarat murid ngeyel batu tambeng sekolah nya sering lempar hapus tuh orang,negative
bocil kalah debat malah emosi,negative
lihat rocky jauh level nya d atas,positive
keren emang rg kata lawyer bawa tahu malah keluar bodoh ngatain anjeeng segala malu pak kalah telak banget debat gimana adil,negative
kalah debat pakai kata kata kasar debat pakai kata kata intelektual,negative
buta jabat,positive
sikat habis bung rocky bela benar buat rakyat yg szlalu dukung mu takut jilat yg satu skak mat,positive
roki kamu pintr ngomong doang buktikn pontaranmu roki jangan cuman ngomong,negative
liat dungu pancing emosi,negative
hahaha pimpin kalah debat emosi,negative
speechless lucu bgt,negative
keren,positive
punya akal harus logis orang derajat tinggi orang beril keren bung rg,negative
kok pancing bro,negative
kdunguan tonton silvester sombong arogan aneh nya undang diskusi rg,negative
roky gk guna buat bangsa mahasiswa dapet ilmu banyak bahkan ribu mungkin tambah suruh ngisi acara banyak kasih ilmu buat masyarakat mau bilang gk guna buat bangsa,negative
super pak rocky gerung,positive
siapa yg lawan rocky debat malah lihat,negative
