cleaned_stemmed,sentiment_prediction
tahan emosi sulit kalah berat kalah salah utama rukun saudara,negative
terus bikin panggung tanam benci nama dialog debat,negative
maaf mas silver bilang jantan jantan rocky gemblung eh rocky gerung si rocky jantan senang jantan,negative
pinter teing rendah pinter na kabeleger tolong,negative
hajar silverster,positive
rocky gerung emang cerdas kederdasannya cocok dosen ajak debat politik karna teori logika fakta bukti orang terima kasih,positive
pinter teing kabelengeer,positive
sehat semangat rocky guna rakyat rakyat jendela dunia buka,positive
paket tdak jlas tdak kontrol adlh emosi napsu tiem bnar salah tetep kontrol jentel emosi lihatny kya ahli hukum,negative
cerdas rocky bannding selester,positive
kt tonton brsama skil iq sht slalu bang rocky gerung,negative
kalah debat marah marah wkwkwkwkwk ahli hukum orang dungu gitu emosi kedepanin,negative
neng lihat rocky debat mahasiswa orang,negative
tanam akal sehat depan ideologi emosi salam akal sehat,positive
silver silver debat kontrol emosi waduhh positif ladusing tolong tes urin,positive
maaf ya bang rocy harga pandai etika ttp jaga donk bicara boleh duduk pakai mondar mandir gitu kesan kayak gmna gitu,negative
bukti pikir kaya pikir,negative
orang batak debat rocky gerung nyerang privasi,negative
lulus ruko versus dosen,positive
jt view juta duit,positive
kasih pipi,positive
dungu si silverter bukti,negative
roqy cerdas bangsa indonesia dungu pria pakai jas akhlak,positive
rocky gerung guna rakyat indonesia,negative
ah ber tele tele rocky gerung bukti dol poin bosan degar oceh rocky gerung,negative
tes urine baju biru,negative
orang tau lihat acara uda tau dungu orang hukum rocky gerung tau orang hukum mantap rocky lanjut,positive
ngakak koplak ngeliat jas biru ya beril beril,negative
rocky cuman usak,negative
rugi ya ngomonh almatermya,positive
rocky gerung debat ilmu lawan debat kusir otot ilmu,negative
rocky gerung cuman teori kritik jokowi jokowi sayang rakyat,negative
bnr rocky gerung,positive
dua dungu,negative
bod silfestuirr,positive
ajar bahasa inggris,positive
ikan pancing,positive
ancen cangkeme rocky njaluk sumpel bawok,negative
rocky gerung abu nawas indo,negative
rocky sok pintar,positive
rocky lawan mental kacang minggir kupas,negative
ikan pancing pantesan kuliah roko uda tua lulus kuliah ee bodat level anjir bang rocky,negative
indonesia negara muslim su gerung,negative
gimana diterangkn sj ngerti bahasa rocky gerung hahaha,negative
udah baca sd ityu fizzo novel eni arrow stensil,positive
baik manusia orang rugi orang orang cerita keburu orang burunknya cerita jnganlah mengongong,negative
salah orang level rocky best rocky,positive
mahasiswa guru rocky indonesia orang tua keluar biaya,negative
rocky gerung arogan ilmu mkna sampaikn jls bgi msyarakt krg brilmu klemahanx mlebar,negative
gaya sebut filsuf heideger biar keren terang pikir heideger tuduh laku bual dungu orang ajar filsafat dalam pikir heideger bahak saksi bual gerung,negative
ikan pancing bang rocky hebat mainin emosi lawan,negative
prinsip pikir metodis sistematis khas ajar filsafat nampak statetmen rocky gerung bual aku ajar filsafat gerung kangkang prinsip pikir filsuf konklusi silogisme ruang kosong otak gerung pikir kata liar sistematis,positive
mantap rocky ribu super,positive
silfester ngerti bahasa rocky emosi,negative
silfester kuliah mana,positive
ngalor ngidul,negative
indonesia butuh rocky gerung butuh orang indonesia kerja nyata omon omon tok bukti hasil karya rocky manfaat guna orang nol,negative
knpa rocky njelaskan bales adu mulut adu argumen hakim kyak gtu smua sesat negara konoha,negative
nyala prof,positive
gerung bual coba tutup dungu takut tuduh takut tangkap,negative
rocky gerung bisa omon omon imigran yaman ya,negative
simple lihat ekspresi raut wajah orang rocky rengut udah paham denger opini disampein endingnya tetep sangkal,negative
kelas tv inews ko awam pilih narasumber patut layak untk undang debat tonton juta pasang mata masak iya kelas rocky gerung versus sampah,negative
satu cerita nabi satu tongkosong bsa,negative
udah aneh urus cawe mah jokowi cawe keluarga jadi jabat,negative
debat sih lebar,negative
maju rocky bar,positive
rocky hebat,positive
hancur kawan rocky gerung,negative
rocky gerung putar putar sesuai isi hati buruk orang tutup konyol bicara putar putar,negative
rakyat makmur pimpin pimpin rakyat gontok gontok kerja,positive
manusia silfer telanjang dungu,negative
asli ngakak lihat dungu orang kalah debat bilang mulyono pasang muka lugu,negative
rocky gerung prestasi ngomong doang kosong,negative
semangat pa rocky,positive
hidup tokygrung moga umur,negative
enak nie dengarin acara debat,positive
emosi bener,negative
rocky gerung guna negara sok pintar manfaat,positive
silfester akhlak makan uang haram hasil,negative
pintar pintar orang harga eprtontonnkan cerdas,positive
nuduh orang cundang cundang,negative
indonesia orang kaya rocky orang hancur sarafxa rocky eror,negative
baju biru masuk loyer pake orang,negative
rocky naking,positive
tau rocky rocky tutup mulut,positive
hai rocky bawa agama ya,negative
ohh rocky bujang lapuk,negative
rocky bukti,positive
silfester lihat muka cerah face,positive
alumni nih coyy gass rocky,negative
rocky gerung hebatt,positive
orang bijak tegur renung orang bodoh singgung klaim wajah cerah bahagia pdhal lihat bodoh wajah,negative
rocky cundang,positive
debat ilmu otak,negative
idebat sehat kalem napa biar warga indonesia misa nangkap,negative
matutina ntt bmiskin botoh nkaya bau,negative
ya salaam silfester adu rocky gerung beda kelas keless,positive
rocky gerung bilang lawan langsung panas,negative
keren keren,positive
orang pinter gelintir orang konsumsi jalan pikiranya haa jamanya edan,negative
silvestre cemenn,positive
jiun sibaju biru amiinn,positive
rocky putar putar istilah erti orang silfester pancing alur rocky dungu bahagia aiman rating bos ngeboster,negative
geprek model,positive
hakim gakk kapasitas,negative
beda kelas,positive
belit rocky gerung,positive
langsung hominem,negative
bikin malu katax hakim,negative
rocky gerung,positive
yng singgung berat marah,negative
emosi hdpi rocky,negative
aiman iseng moderator wkwkwkkw,positive
ter bukti,positive
kalah debat panas malu lh bos dpan anak mahasiswa,negative
bang rocky udah gunung rinjani kuat ilmu,positive
ken ketawa lihat orang hukum,negative
ter mempan otak lawan rok tahu pd ngaku,negative
ketawain hahahahhahahhahahahhahahahahahahaha buang dopamine,positive
laku rocky sll cr asing hubung teman,positive
sehat rocky,positive
eh orang keras skrg kagak pakai rejim bro,negative
pancing argumen kalah,negative
kasi kuliah rocky gerung malu banget,negative
nyambut bayar,positive
sungguh ber rakyat ilmu si gerung bodoh mempan bodoh bodoh,negative
ngeladenin rocky gerung pancing emosi diemin senyumin ttp fokus poin debat,positive
tau hidup taun,negative
orang pintar debat,positive
rocky gerung negara gaduh,negative
komennya dukung rocky gerung bukti,positive
rocky cundang,positive
jas biru tolol haqiqi,negative
tax rocky tuk negara ya,negative
mantap rokyy suka,positive
moderator sukses dulang rating debat biar kesana kemari,positive
tayang didik banget nyata batil versus baik,positive
emosi adu argument asyik,negative
rombong jokowi coba staf perna kunjung daerah tuh harga cabe rb bang beli staf suruh bilang harga rb,positive
trimakasih rocky karna isi perintah bobrok,positive
komentar komentar cerdas coba bantu jelasin bro,negative
dongo dongo yah,positive
dagel,positive
nyala bang,positive
tahu hasil sogok haram,negative
cundang orang pikir kritis,negative
kalah argumentasi ilmuwan fakta kalah orang dongo fakta jallaludin rumi,negative
orang sindir mudah emosi,negative
mithic imo ketemu epic,positive
nyerang pribadi pancing langsung ngegas nunjuk rocky gerung maki pribadi rocky gerung,negative
diskus marah main oto jaman,negative
benar anggap dasar berfikirnya kacau arah,negative
aiman undang narasumber rocky didik rayat mrnjadi pintar halusinasi,positive
pulang rocky oran pintar rakyat,positive
cundang bicara putar putar tunjuk bukti,negative
keren banget rocky gerung yess best,positive
ber rakyat rocky maju rocky,positive
rocky gerung pokoke keren pinter santuy,negative
kali kali putar paham jalan debat simpul jalan fikir orang beda rocky bas pd buku hakim point bener salah,negative
bapack baju biru bikin ngakak real hibur,negative
rocky gerung emang pinter cari sudut orang gaya bicara putar,negative
kalah wawas tahu jalan ninja serang pribadi,negative
lawa srimulat,negative
menang mahasiswa dateng nonton dapet nonton debat dapet mma,positive
rocky gerung kerenn,positive
ngakak,negative
bodoh,negative
debat pakai otak pakai otot maluh raknyat nonton,negative
makan mendoan dnk biar santai broo,positive
mntp kauu rocky libass ngertii ngomong ester stailonn,negative
oii kauu memangg bodohh rokkyy betull nantang secaraa fisikk gila sevester stallonn,negative
bnaget yaa moga dukung rocky gerung mantaps,positive
rocky duluan bilang bodoh orang etika,negative
cundang versus jilat,negative
sopan ngebodoh bodohin orang atas umur pke etika ngomongnya,negative
skakmat,positive
rocky cerdas banget bilang cundang,negative
si bener smua orang mah salah mata,negative
bela lihat bener salah rocky kuat omonganya ngalahin indonesia sbar biar rocky bilang bodoh bodoh pusing,negative
mntap,negative
ah teu neng kuring mh ka rocky gerung orang munapik,negative
males dengernya si eta gituu ngomongnya hasil hny mncela nilai orang doang,negative
sbetulny orang brdebat dh mmulai mmbangun negara belm sih,negative
debat guna,positive
bilangin dungu pikir mala nampakin dungu truss,negative
informasi cepat sabar media media bahaya orang ambil positif,positive
lebih alloh daek keked sbagai neraka surga hati,negative
muterr putar gr alam gr,negative
bang rocky lawan keras lawa bodoh lihat gaya bang rocky marah dekat dekat cari momen mukul duluan saat kena udah habis udah rocky menang pdhal bnci rocky musuh debat bobot,negative
whahahaha simple sih obrol tangkap cuman puyeng dijelasin pikir rocky gerung terang dosen level tau arti terang rocky gerung,positive
basis otak silfester otak ucok umur otak kosong mabook jokowi,negative
negara udah salah bener bela jabat susah korup,negative
jokowi klok tampil media sosial bukti tunjuk masyarakat sistem kerja,positive
wkwkwkwkw,positive
ah orang teori praktek bohong perhati masyarakat dlu orang pintar pintar ngomong,negative
ria bodohin tonton bodoh,negative
rocky emng jurus kritik pemerinth media kritik lihat pernh agung pemeritahan,negative
duduk adu argument perdebatn selesai smpi mulut busa butuhkn rakyat adalh bukti kerja kesejahtraan tara beda muskingum kaya kota dalam kmpung,negative
lihat kelas lembaga hukum pancing emosi mudah kasar depan orang gin kah kualistas lembaga hukum indonesia,negative
pilkada pilih sih,positive
jokowi ktwa peliharaanya debat,negative
subhanallah allahu akbar,positive
rocky versus orangtolloll,positive
slm sumatra orang pikir rakyat tak makmur th mardeka tak makmur kaya,negative
kah masyarakat malu kalia,negative
nyambut jokowi plosok plosok tipu rakyat sambut perangkat perangkat aparatur nyambut,negative
rocky gerung,positive
rocky cerdas tonton,positive
senang bahagia hidup rakyat sensara kepemipinan,positive
nerasa emosi pinter ya bang rocky,negative
silfester stallon sih,positive
menang,positive
hebat rocky gerung moga sehat rocky,positive
silfester kelas debat warung kopi,positive
boxoffice rb komentar tayang,positive
tau sampah masyarakat pakai jas,negative
emg rocky nyebut jilat kah,negative
lemah argumen keluarin sentimen,negative
sayang audiens mahasiswa mahasiswi lugu tepuk tangan coba audiensnya isi pakar,negative
silfester pntas hukum rimba rkyt,negative
ngakak udah ngebul otak silfester emosi pancing teori tahu kalah,negative
yaa alloh orang muka bumi biar negara tenaang tentraam,negative
silposter banding pola pikir rocky jebak silposter,positive
perangkap jebak batman hahaha,negative
bilang bodoh darah pas oepatah debat orang bodoh karna orang bodoh tahan bodoh,negative
pusing hidup,negative
sambut om,positive
sumpah epic banget moment lanngka ngakak iya omong,negative
si jas biru pusing karna rakyat pikirin uang uang rocky manfaat negara manfaat rocky anak didik manfaat negara,positive
jilat panas,negative
rocky tensi,positive
jas biru gimana sih,negative
bebeak kitu,positive
bener dian satro ngrasa baca ngaku baca ngerti,negative
wkwkkww emosi bawa derita jumpa si rocky gaya patric lihat emosi wkwkkwkwwkk,positive
rocky gerung,positive
pantees ngamuk karna dungu terukap,negative
berani lawan rocky gerung debat kalah udah lumayan,negative
tunggu rocky silfester debat,negative
silfester aku jilat singgung liat banget jilat,positive
rocky kritik pikir sifester nyerang fisik pribadi rocky gerung kalah sbelum debat,negative
kolerasi rocky gerung cendrung fase ajar masuk wacana program inws,positive
go rockyy,positive
orang jas biru sombong,negative
bang rocky bodoh sok pinter,negative
debat level,positive
jilat bodoh emosi,negative
semangat bang rocky dukung,positive
silver kmu hrs debat orang bodoh biar tenar,negative
denger bilang cundang cundang silfertar loyer,negative
kasihan anak,positive
silfester ngomong ngotot dasar tendensi ilmu,negative
love rocky gerung,positive
rocky garing bah,negative
ngomong baca buku buku diem rocky gerung udah nguasai bos,negative
rocky bicara putar putar mulu suruh kasih bukti ngak,negative
malu umur hidup,negative
silfester cuap cuap kualitas rendah,negative
simpel ikan pancing,positive
bayang malu selverquen tembus mata kaki,negative
cuci habis abis tuh,negative
percaya om rocky drpd si sikvester orang mudah pancing emosi orang tahu bohong usaha teriak bukti,negative
emosi jilat wkwkwkkwkw,negative
hidup rocky,positive
blogk emosi manage,negative
jujur suka rocky gerung,positive
menit disebutin pasal langgar,negative
rocky omongane putar putar,negative
ky rocky modal omong doang coba daerah bantai argumentasi,negative
rocky rahang patah,positive
manusia adab rocky gerung,negative
media adu domba nggk profesional,negative
manfaat enak adu jotos manfaat tumbang,positive
logika belah laku negara muncul kritik anggap serang survei debat si jam bagus looks merk orang jam bagus si bagus standar landas sipembuat jam layak bagus si lihat depan cover si usaha cover isi,positive
sombong silfester jokowi baanyak suka tunggu jatuh sombong,negative
haah pancing hidup rocky grung bela rakyat benar ilmu lindung aamiin,negative
debat mutu manfaat iman tertawa senang bawa acara fokus inti bebat aiman biar rocky gerong ngoceh ngalor ngidul topik rocky main dng ahli fisafatnya sampah guna debat,positive
jilat jokouidodo undang dirobah pen ting keluarga jokouidodo penting negara,positive
guna rocky lurus pikir perintah bengkok si tau bedain orang kritis baik,negative
baca buku gatau baca aneh,negative
aiman suka banget dengar orang gontok,positive
strike rocky,negative
rocky meni dengar meni ngomong suka dengar bukti kadang orang dengar sakit hati,negative
bang rocky bantai tubi,positive
nama jilat urat malu,negative
jilat hajar habis,negative
rocky gerung putar ngoceh rocky gerung,negative
udah rocky kasihan hajar nnt malu anak bini,negative
silfester matutina lewat pintar smpai uang kalah akal sehat negara butuh orang orang cepat singgung orang tidk tuduh,negative
level rocky kasihan,positive
orang menado bangga rocky manusia cerdas,negative
apa daya mampir kesini cuman lihat ulti plus savage rocky gerung,negative
untung indonesia rocky gerung,positive
lol,positive
silfester sarjana hukum gadungan yaa,negative
prof rocky gerung keliling dunia undang seminar nara sumber marin australia,positive
bravo prof rocky gerung,positive
prof rocky gerung cerdas anak bangsa,positive
fungsi rocky gerung,negative
seru,positive
debat panggung emosional debat pake logika otak pake dengkul,negative
rakyat indonesia waras pakai otak dukung rocky gerung,positive
menurit hagailah dapat beda dapat satu orang blum lihat tolong tonton acara debat ajar hikmah untung orang awam mudah pancing pastiengikuti emosi nyah,positive
suka bawa jatuh mental orang lawan debat,negative
hati hati sentuh abang hilang nyawa,negative
rocky gerung guna bangsa negara indonesia,negative
sibju biru satu jawb tau marah mulu emosi mulu ngeles mulu,negative
jilat terima jilat otak otot umbar,positive
silfester otak sampul isi kosong,negative
bang rocky keren,positive
rocky gerung nahan ketawa lihat beliau emosi lihat ntuhh orang kocak banget kalah debat rocky gerung rispeckk rocky gerung debat bawa selon bikin nyess hati lawan debat,negative
maling ngaku maling jilat ngaku jilat,negative
pikir lateral versus linier ketemu tinggal kuat nahan sabar,positive
rocky gerung gelut buku heran hasil pikir kata masuk akal,negative
tonton bodoh rocky gerung,negative
mantaab rok lawan hebat,positive
hei aiman debat rocky etis kmu tunjuk mahasiswa generasi rendah orang orang,negative
bener bener,positive
dih anjir malu cok negara jas ngamuk vote kick enggk sih,negative
guna rocky jerung inti kerja cari duit tabung jngn boros duit buka usaha beli rumah kendara pribadi nikah anak bahagiain orang tua kluarga politik coment,negative
okduaawrangtutuplacawkup,positive
mariholhtheiin,positive
itudansiapatoburungdanku,negative
iniduaawrangbukahlaburungkahapasalmasuhdankamohmu,positive
luh tau rocky ngmng sok ngerti jing,negative
liat ijazah beli nih silfester,positive
beda level,positive
ikan pancing hahahahahah aa,positive
silfester usaha psti kait ijin ngomong tema alur gratifikasi gimana ya pikir pikir ya,positive
lindung kuat emosi terima dapat terang dungu,positive
debat argumentasi suaru forum resmi forum hadir kaum intelektual emosi fisik kalah argumentasi ya aku kurang salut rocky gerung,negative
sitolil nolak tlol,positive
habis kramasi rocky,positive
mana maling ngaku,negative
guna rokcy ilmu akademi bilang juta lapang kerja anggur indonesia banyak lelaki lantas kerja kerja lowong,positive
rocky gerung orang jenius cerdas pintar beda lawan hati hati bicara ajar hatam bp rocky,negative
bang nnti acara debat rakyat ber suara nonton langsung studio anak kuliah cuman lulus sekolah dasar,negative
bicara kontek pamer intektual salah moderator atur jalan diskusi speech corner,negative
salah judul rakyat adu domba,negative
salut sh bang rocky pngetahuan luas bngt jir,positive
silfester jilat cari panggung,positive
lawan rocky blak blakang rocky dungu,negative
ngaku menjilt,negative
silfester baca sd rocky coba baca silfester gelagap,positive
dajjal usak hasud orang hadir pinter bodoh bodoh orang awam ajar,negative
rocky best cawe cawe ya iyaa kaga cawe cawe rugi,positive
terminologi pacta sunt servanda dasar bahas kuliah hukum rocky jokowi langgar arti terminologi pacta sunt servanda ucap janji politik kampanye langsung sah undang masuk dal tentu hukum perdata pidana singkat,negative
ya,positive
gerong gerong ya utuk edonesia,negative
kaga rocky gerung ngomong kaya orang bangun tidur,negative
inews kumpul kaum silfester hibur masyarakat indonesia,negative
rocky gerung sok pintar takut,positive
orang pintar kelas orang sok pintar keren bang rocky hajarr,negative
rocky sih duluan ngatain orang dungu bodoh silfester bicara sopan,negative
uu ite penjara hujat kasar,negative
bahagia selverster bahagia emosi tanda tidak bahagian hidup halang munafik,negative
orang liat banget ilmu,negative
bodoh silfester,negative
orang salah marah tutup salah selter selter nama cocok,negative
kurang tahu silferter,negative
ilmu si silfster gitu emosi doank cundang si silfster wajar rocky gerung ajar silfster ajar rocky gerung cundang raup untung kuasa doang,negative
rocky lucu yah bikin tonton ketewa lihat lawan,negative
omong sok pinter sokhebat jual pirum,negative
bener emosi orang kendali pikir,negative
acara lulus hukum dungu orang manfaat bangsa dungguu rocky gerung,negative
kalah debat kalah wawas kalah pngetahuan dosen ui lawan,negative
rocky gerung guna republik broo,negative
malu malu bnget jabat antem mulut dpn orang bnyak gara gara beda dapat marah marah gitu picu struk,negative
guna bro,positive
silfester si banget,positive
jejak digital malu ikan,negative
salah contoh jabat profesional ilmu basic jabatanya tau,positive
prop rocky gerung,negative
jujur dangkal tahu simak ngerti orang sungguh nurul blajar hukum ngerti dasar teori,negative
roger,positive
sd baca jokess lawaass garing gendt,negative
emang mbulet bikin emosi,negative
hidup buat nyata utuk bangsa teori kepinteran biar kelak bukti nyata bangsa trimakasih,negative
rocky gerung mencla mencle bukti,negative
cerdas rocky party,positive
panik panik hadap rocky gerung,negative
hakim bodoh dunia silfester silfester best dungu,negative
silfester,positive
lawan debat rocky emosi jilat,negative
bukak seragam bukak jabat gelut monggo,negative
bangga warga sulut karna orang sulut cerdas rocky gerung lawan,negative
orang pikir undang inews tolong undang narasumber pikir pake otak labil,negative
bahahahaa silfester kasi tuu organisasi tum gin aah mah berani taroan debat anak smp kalah liat kualitas silfester kelas anak sd sih,negative
vorum akademis jadi tarung jago ring sil debat ko mikir pake otot mkanya rusak negara perintah du huni orang pikir pake dengkul contoh nyata,negative
rocky gerung maki mundur maju jiwa tarung sih lawan ciut,negative
imam syafi benar temu reaksi beda orang cerdas renung orang bodoh singgung,negative
bodoh mampuh mnahan emosi debat,negative
jas biru bela junjung ahir jebak emosional jatuh pribadi orang,negative
silferter aneh raja jawa bela raja jawa sinkron alias bohong,negative
life simple rocky ngomongya prestasi mahasiswa sok ngerti nonton suasana debat kacau si rocky ngomong substansi,positive
asekk sekian komentar mayoritas dukung rocky gerung mantap,positive
selfester kuliah ambil jurus hukum rimba bodoh debat,negative
amit malu ajaa contoh rakyat emosi istiqfar,negative
pandai pandai tupai jatuh loncat silfester debat,negative
telintas beranda tayang rocky gerung wakil suara rakyat derita hebat wakil suara rakyat diri derita,positive
klh debat ngamuk,negative
rocky ngomong orang bukti ngajar filsapak tdi tunggu bukti rocky,negative
hahahahaha,positive
sehat slalu rocky gerung,positive
dikatain dunguu rocky kaciiaan deh luu,positive
silfester stalone sok guna negri,negative
kasi anak istri otak malu weuhh pede rumah cerita buah jatuh pohon,negative
ya nyambut jokowi pro jokowi bro suka jokowi,positive
bravoo rocky,positive
betuul rocky kmi nonton bodoh broo,negative
eben langsung cek google,positive
silfester cundang bujang lapuk dungu rocky ilmu adab shame silfes,negative
mna ratus ribu orang mimpi luu luu bsa debat maksa rocky level kmu,negative
kendali emosi lemah banget si silfester,negative
orang rocky gerung lawan juta juta orang kuasa andai orang rocky,negative
butuh rocky indonesia,positive
mantap rocky poko keren wadidau salut ratus kaya cerdas,positive
bujang otak jail atur,negative
rocky gerung ngomong teori praktek bangsa,negative
ngakak hajar bang rocky,negative
bidih aku sadar,positive
bukti rocky gerung ya simpel rocky gerung bukti kadang argumen dengar nyambung argumen rocky gerung sang jilat aku,negative
bikin mayyuu,positive
rocky cerdas,positive
susah debat emosional,negative
orang anak hukum tau pacta sunt servanda orang bodoh situ ngakak udah kalah malu duluan wkwkwkwkk,negative
emosi bawa kedongoan sungguh,negative
salut rocky gerung,positive
rocky gerung idealis orang gila dukung rocky gerung,positive
silvestar emang kes guoblogh,negative
emosi adu otot gile tahu judul buku kenal,negative
rocky gerung sehat guna bangsa indonesia,negative
kalah telak si silverter wkwkwkwkwk ngaku nyala bang rocky,negative
jilat lapar mantap rocky lanjut,positive
pake jas biru liat jijik banget ih,negative
rocky debat seru,positive
demo kadaluarsa rocky gerung afdat kumat anak sd kls dosen matematika karna maniak panjilat kagak rocky gerung medali emas olimpiade francis,positive
lawan debat rocky gerung debat,negative
rocky gerung emang pedas sih mulut,negative
anak buah ya jokowi kocak,positive
kaget sih cameramen pas diri liatin perut buncit buncit,negative
komedian komeng kalah lucu si plester,negative
alamakk rocky berani pinter ngomong pelinter,negative
rocky gerung manusia tergblok dunia,negative
padan ilmu pengetahuanya rocky isi pancing emosi mending pulang main ring tinju debat emosi tahu tau,negative
kaya kisah sejarah kalah adu benar tawar adu otot,negative
hai rokyy ahli jebak orang bahas topik,negative
tarik manfaat pimpin pilih kasih sesi debat calon pimpin rocky gerung acu bodoh cerdas calon pimpin,negative
orang terang ngomong,negative
udah baju biru maluu,negative
baju biruu,positive
beda kelas banget ahahahaah hibur rocky party,positive
priode drama puncak mata rakyat kerja negri korupsi anak pinak ekonomi tumpur harga pangan melonjat,negative
free palestin jebak kata jilat jokowi bravo om rocky gerung,positive
rokcy,positive
ngomong slah terima ajarin rocky gerung sd paham pas paham orang bilang pinter gitu iya,positive
bun nih dungu banyak cengkonek dungu ya klu mnurutku orang cerdas cerdas pikir cerdas komunikasi dialog lawan bicara asyik bicara,negative
acara blegedws,negative
media senangny adu domba orang untung rakyat debat butuh masyarakat nyata gerung negara rakyat,positive
debat rocky suruh bawa tuh pustaka campus ragu kelulus silfester univ abal abal silfester kelas rocky gerung ilmu debat serang pribadi sebut manusia lapuk cundang gilir profesor silfester marah marah ini ragu kelukusan universitas bobot abal abal nich,negative
silfester kocak habis,negative
guwendeng guwendeng guwendeng,positive
rakyat kuliah gratis mntap rocky,positive
heran rocky gurung benci banget jokowi hai gerung emang buat tuk negara rakyat indonesia,negative
wow,positive
orang kayak silfester ko ahli hukum,negative
bilangin orang cundang sadar cundang bruakakakak,negative
sumpah ngkak ane liat bruakakaka,negative
beliau lihat dungu,negative
keren rokiee ane dukung rokiee bruakakakak,positive
kwkwkwk debat urat,negative
ngaco bodoh hina hebat bang rocky kena tuh orang bodoh banget,negative
rocky best,positive
neng aiman orang adil senyum,positive
semanga bang rocy best,positive
lawan rocky gerung sadar suka makan uang jilat rocky gerung ajar cerdas ambil gaji,positive
pdhal pacta sunt servanda janji tepat bnyak tepat bukti cawe cawe emng paok kli silfester,negative
keren rocky sehat sellu panjng umur,positive
wow membodohin masyarakat bro istilah emang emosi,negative
ngaku hukum rocky otak kosong,negative
hidup bahagia pusing ya ngklah orang jilat,negative
si jilat,positive
lawan rocygrung ldunggu,negative
silfester sarjana hukum abal abal,negative
dengar rocky bicara gilaa,negative
ajar rocky gerung nilai ngajak antem kasar arogan,positive
wajar sih marah marah dikatain bodoh didik sekelaa gelar prof ngatain orang bodoh argumentnya kotor tanggap,negative
terima bilang bodoh nama profesormya,positive
rocky gerung akhir huruf tambah huruf,negative
ya kerjaanya gerung gitu makan,negative
vilsup sama hukum beda ilmu,positive
kasi kalah debat emosi malu,negative
rocky pandai kritik solusi alias guna bangsa,negative
kode totol otot,negative
bikin malu orang ntt bro,negative
terang,positive
silfester ngomong gmna,positive
ngaku jilat,negative
tanding rocky,positive
ya silfester,positive
rocky gerung tanding,negative
uji adu cerdas,positive
rela jual harga duit,negative
rocky best versus si dungu,positive
nostalgia sparing sean strickland influencer,positive
mantap rocky cerdas pikir,positive
malunyaa,negative
nyambut jokowi hadiah,positive
quote day success free lick,positive
rocky gerung guna republik cipta orang guna bangsa lawyer hancur bangsa pintar cari uang miris,negative
si silvy diplomatis bicara emosi depan bicara cundang mslh lajang,negative
rocky gerung,positive
rocky sj beda anis mna pintar pake nilai buruk orang retorika doank jokowi banya buat bangsa rocky koar koar caci maki orang nilai orang buruk pdhl buat bangsa,negative
komentar dukung rocky gerung hapus min min,positive
teoritis gering kayak orang pinter berani omong ja bungkam mulut diam,negative
pribadi percaya om rocky karna bujang lapuk pikir hati jernih,negative
loh ngamook awoawok,negative
salut rocky gerung dengar debat tau rocky gerung kualitas jwbn slalu putar slalu bodoh lwan bicara hrusnya rocky gerung bicara kpd khalayak nanyak luar jalur,positive
orang cerdas adap unjung pintar pake sadar sesat,positive
nikmat dungu si jas biru,positive
orang bodoh tengkar yaa ujung ujung main pisik kayak silfester,negative
bujang lapuk cerdas hrs orang rocky tenang hadap orang motong bicara emosional tenang,negative
profesor nama,positive
jilat silperter ngapain marah rocky,negative
jilat gakbakal ngegas bro,negative
rocky nilai orang suka hati bicara benar jga manusia ush nilai orang bos,positive
tangkap rocky gerung jerat pasal pasal lap hina kpd simbol negara makar kpd negara hina nama,positive
keliahatan cundang hahaha,negative
rocky gerung emang hebat lawan debat emosi pintar apa lawan debat bodoh emosi rakyat senang orang pancing emosi sifat jilat,negative
silverqueen tol,positive
ngakunya orang hukum dungu ampun saya tamat erti rocky maksud dijelasin ngerti orang hukum malu sbg warga negara negara dungu,negative
mantab rocky,positive
langsung rink mma ajah,positive
rocku party,positive
silfester bisa bukti bukti gilir dijelasin potong mulu bawa nama hukum gatau hukum malu ya tonton orang wkwkwkk,negative
tinggal ngopii aje bang rocky ilmu bang rocky anak sd faham lihat argumen,positive
rocky gerung cerdas sayang etika argumentasi ilmiah seringkali mekanisme laku maksud realita hubung teori ilmiah realistis bahasa kasar cenderung ngelantur kasar heran lawan diskusi pancing emosi,negative
kontrol emosi tanda kalah telak layak tampil debat apa ikan pancing,negative
silfester kayak preman pasar ya cermin orang hukum treak treak orang hukum isi otak kosong andal emosi silfester lawan debat rocky preman pasar sih,negative
rocky gerung pinter omong kosong doang mahasiswa bodoh,negative
rocky geru gejala sakit sindrom ajak debat bawa bodoh,negative
sayang orang piara perintah sana negara moga esok,negative
siap ilmu ngajak debat gerung,negative
enjoy banget kuliah rocky,positive
orang kaya gin mudah pancing ya,negative
moderator biar debat lebar topik provokator aiman netral pers,negative
susah menang bisnis ajak perang strategi pikir orang hidup satu akademis kalah si lawan rocky liat dungu orang satu argumen argumen kuat,negative
pancing gaada nyebut nama ngaku,negative
jas biru lucu deh jabat mental gt ra mutu,negative
maha siswa keplok gimana pikir salah,negative
rocky bagi guna,positive
maklum jilat,positive
roocky baca debat kusir,negative
biru bicara bobot dendam pribadi jatuh debat,negative
baju biru esmodi,positive
rokki gerung culik bos,negative
silfester misa,positive
demokrasi,positive
curi curiga orang curi milik bohong tuduh orang bohong orang bodoh orang bodoh orang pintar sejati orang bodoh padi isi runduk congkak angkuh orang suka anggap hibur,negative
saking pintar doyan wanita,positive
